residual_norm,runtime,flops
23326.048828,0.611158,1217570159.434810
15022.993164,1.306824,569416271.110271
13874.403320,1.996058,372798250.933335
13694.218750,2.681510,277502952.334337
13670.118164,3.303262,225270363.309595
13662.702148,3.937680,188975993.225740
13662.456055,4.570371,162815465.166878
13662.853516,5.191470,143336486.548529
13663.225586,5.804179,128205380.651428
13661.425781,6.417776,115947810.555212
13661.167969,7.033022,105804741.229554
13663.891602,7.673433,96974465.007686
13660.168945,8.321824,89418742.598384
13659.318359,8.954288,83102870.599546
13662.837891,9.644636,77154493.894224
13661.008789,10.252282,72581601.207354
13660.684570,10.875459,68422586.965905
13659.493164,11.489589,64765327.701020
13663.894531,12.114110,61426471.124974
13662.078125,12.713973,58528285.013101
13662.561523,13.327851,55832482.508860
13661.458984,13.939367,53383129.442813
13662.469727,14.551767,51136540.773849
13665.513672,15.174886,49036745.355446
13660.071289,15.790994,47123506.769373
13660.439453,16.417125,45326268.770700
13660.119141,17.020748,43718820.481736
13662.573242,17.672747,42105906.187011
13665.960938,18.285452,40695028.826925
13661.312500,18.895256,39381684.089466
13663.953125,19.506255,38148121.875566
13663.356445,20.126846,36971864.468908
13661.135742,20.793723,35786136.466489
13660.647461,21.407864,34759516.886277
13658.192383,22.022225,33789819.420170
13662.151367,22.640688,32866802.528362
13663.775391,23.252942,32001413.852069
13662.662109,23.863803,31182246.900004
13663.207031,24.479707,30397708.515794
13661.839844,25.092898,29654885.214390
13663.800781,25.704588,28949189.624942
13661.522461,26.318470,28273946.106595
13661.532227,26.935835,27625911.610224
13662.494141,27.546878,27013115.397124
13662.489258,28.161669,26423398.567221
13664.737305,28.785024,25851185.691881
13662.558594,29.409331,25302412.234691
13661.265625,30.061066,24753846.579292
13660.711914,30.691076,24245712.299009
13661.848633,31.302065,23772457.811245
13660.808594,31.916651,23314695.811778
13662.121094,32.579266,22840508.426580
13661.394531,33.210982,22406052.495671
13658.500977,33.831695,21994966.889916
13662.477539,34.490101,21575089.316157
13661.178711,35.099969,21200218.506400
13661.610352,35.712860,20836388.062817
13660.639648,36.336148,20478973.535856
13659.873047,36.947681,20140019.374150
13661.516602,37.555852,19813876.081987
13661.647461,38.168781,19495697.296677
13660.712891,38.784083,19186401.747091
13660.368164,39.398063,18887400.672789
13660.075195,40.008259,18599334.783645
13663.057617,40.621932,18318355.897261
13662.958008,41.242252,18042831.383096
13657.637695,41.863925,17774898.020303
13661.178711,42.469652,17521382.024660
13663.341797,43.085347,17270999.596206
13661.270508,43.705147,17026072.675902
13664.825195,44.318494,16790439.801629
13664.768555,44.944778,16556472.892062
13663.202148,45.556238,16334250.632844
13660.905273,46.175188,16115299.942959
13662.708008,46.787661,15904343.026176
13662.172852,47.397027,15699866.573292
13659.792969,48.013890,15498161.270606
13662.610352,48.619192,15305211.390522
13664.287109,49.226842,15116285.594230
13663.633789,49.844877,14928856.282637
13661.597656,50.472728,14743149.954999
13661.561523,51.086207,14566103.887186
13662.076172,51.711933,14389850.750873
13660.307617,52.325365,14221152.836318
13660.420898,52.936948,14056855.154343
13661.691406,53.544549,13897343.757848
13660.992188,54.160630,13739260.385705
13659.742188,54.818392,13574404.163608
13663.475586,55.446344,13420668.624389
13664.056641,56.064413,13272715.476883
13662.712891,56.680311,13128491.957575
13662.532227,57.375882,12969334.508127
13661.223633,58.002009,12829331.599909
13660.728516,58.624470,12693112.727078
13659.541016,59.236540,12561959.286154
13662.783203,59.848971,12433413.532751
13662.341797,60.463554,12307033.886801
13662.578125,61.074285,12183965.893618
13663.101562,61.686862,12062973.836954
13662.024414,62.310460,11942248.663540
