residual_norm,time,compute_time,flops
391682.937500,0.000018,0.0,0.0
260525.062500,0.349454,0.214239,0.746978
175837.968750,0.696839,0.215773,0.741670
122392.429688,1.045618,0.215522,0.742533
85553.523438,1.392716,0.215230,0.743540
61498.542969,1.743222,0.218951,0.730904
44126.378906,2.090237,0.215862,0.741364
31918.738281,2.447212,0.217218,0.736734
23585.447266,2.801181,0.216644,0.738688
17186.142578,3.148809,0.217804,0.734754
12233.438477,3.522318,0.205416,0.779062
8989.082031,3.872684,0.221189,0.723507
6774.436035,4.228152,0.216140,0.740408
4963.757812,4.652853,0.204785,0.781463
3723.459961,5.034914,0.208418,0.767843
2768.773682,5.542095,0.202401,0.790670
2070.676514,5.900933,0.105625,1.515089
1551.962280,6.258836,0.106650,1.500533
1172.619019,6.617753,0.124618,1.284176
884.999451,7.354157,0.114655,1.395767
672.423767,7.725046,0.152122,1.051999
507.638672,8.094917,0.152459,1.049671
388.815460,8.499136,0.155000,1.032463
294.596771,8.954366,0.151540,1.056039
223.499771,9.387603,0.280420,0.570688
168.741470,9.809511,0.277902,0.575857
129.886581,10.353298,0.159851,1.001130
98.604637,10.738043,0.241158,0.663598
73.793274,11.287451,0.257540,0.621387
55.120628,11.868193,0.265659,0.602396
42.739754,12.315556,0.274842,0.582268
32.436062,12.690117,0.238997,0.669599
25.009975,13.063655,0.242429,0.660118
19.438171,13.437101,0.241109,0.663732
14.947225,13.809020,0.239059,0.669425
11.630551,14.175171,0.235816,0.678632
9.007167,14.546928,0.240673,0.664936
6.946879,14.929926,0.242195,0.660758
5.365127,15.306750,0.243522,0.657156
4.179152,15.709496,0.236045,0.677972
3.300898,16.081463,0.239543,0.668073
2.554852,16.477809,0.232478,0.688375
2.029579,16.848960,0.240472,0.665492
1.585202,17.251392,0.235558,0.679375
1.242417,17.616121,0.235661,0.679076
0.978882,17.989877,0.237257,0.674508
0.768339,18.362443,0.189695,0.843628
0.603213,18.733828,0.238774,0.670225
0.476581,19.099930,0.236810,0.675782
0.374280,19.471841,0.241352,0.663065
0.295731,19.845668,0.238343,0.671436
0.231864,20.218287,0.240901,0.664305
0.180796,20.586657,0.235211,0.680377
0.142472,20.959528,0.240098,0.666527
0.112122,21.328783,0.236943,0.675402
